Frequency [Hz],TVR [dB],R [Ohm],X [Ohm]
42000,137.9032,21.21926922,-272.8877151
42100,137.9032,20.82049675,-271.7471589
42200,137.9032,20.43661563,-270.5949481
42300,137.81665,20.09556242,-269.6383545
42400,137.81665,19.76280795,-268.6673985
42500,137.81665,19.436988,-267.6756282
42600,137.73011,19.11207101,-266.6222915
42700,137.73011,18.84073491,-265.8770167
42800,137.64356,18.5159821,-264.6923932
42900,137.64356,18.26799562,-263.9908343
43000,137.60029,17.96684433,-262.8457178
43100,137.55701,17.70902001,-261.9536655
43200,137.47047,17.44722985,-260.973143
43300,137.47047,17.18963364,-259.9643814
43400,137.38392,16.96484811,-259.1459934
43500,137.38392,16.74521935,-258.3131347
43600,137.34065,16.52303912,-257.4073637
43700,137.29737,16.30903984,-256.5133624
43800,137.21083,16.08083825,-255.4575729
43900,137.21083,15.88053431,-254.5746322
44000,137.12428,15.69704099,-253.7830974
44100,137.12428,15.4987752,-252.8317381
44200,137.03774,15.31719758,-251.9771008
44300,136.99446,15.13531458,-251.0841293
44400,136.95119,14.95272244,-250.1513154
44500,136.86464,14.80858318,-249.5094299
44600,136.82137,14.64765474,-248.7004964
44700,136.7781,14.47652111,-247.7794071
44800,136.73482,14.32577345,-247.0090517
44900,136.69155,14.16058669,-246.0939456
45000,136.64828,14.01648728,-245.3423295
45100,136.605,13.87540637,-244.5982862
45200,136.605,13.71702518,-243.6809977
45300,136.51846,13.58184362,-242.9466921
45400,136.51846,13.43021047,-242.0421795
45500,136.43191,13.29892535,-241.2956373
45600,136.34536,13.17055472,-240.5505942
45700,136.34536,13.04567431,-239.8113443
45800,136.25882,12.92603252,-239.0931354
45900,136.25882,12.79003429,-238.194967
46000,136.17227,12.67778102,-237.4870917
46100,136.17227,12.56759942,-236.7684627
46200,136.08573,12.44960908,-235.9446477
46300,136.08573,12.34305119,-235.1958332
46400,135.99918,12.23361399,-234.3864879
46500,135.99918,12.13303825,-233.6305084
46600,135.99918,12.049995,-233.0147952
46700,135.91263,11.951212,-232.2213034
46800,135.91263,11.85838375,-231.4610868
46900,135.82609,11.76863149,-230.7087897
47000,135.82609,11.67874584,-229.9352883
47100,135.82609,11.59475421,-229.2019809
47200,135.73954,11.51664961,-228.5114757
47300,135.73954,11.44036046,-227.8259529
47400,135.65299,11.36583718,-227.1470616
47500,135.65299,11.29468339,-226.4929588
47600,135.56645,11.20980503,-225.6943103
47700,135.56645,11.14280931,-225.0699927
47800,135.4799,11.05489575,-224.2314318
47900,135.4799,10.98853146,-223.6092549
48000,135.4799,10.91398263,-222.9047341
48100,135.39335,10.83388958,-222.1457693
48200,135.39335,10.77341238,-221.5917556
48300,135.30681,10.69759344,-220.8866075
48400,135.30681,10.62028837,-220.1735684
48500,135.22026,10.55860802,-219.6318093
48600,135.22026,10.46518904,-218.7713737
48700,135.13372,10.39221296,-218.1360603
48800,135.13372,10.31758733,-217.49801
48900,135.13372,10.23783921,-216.8220187
49000,135.04717,10.16421574,-216.2284192
49100,135.04717,10.07084134,-215.4438171
49200,134.96062,9.993296034,-214.8482723
49300,134.96062,9.914851503,-214.265755
49400,134.87408,9.821243378,-213.5431706
49500,134.87408,9.744441881,-213.0281808
49600,134.78753,9.65296754,-212.3803009
49700,134.74426,9.554691951,-211.6852279
49800,134.74426,9.449797208,-210.9451556
49900,134.70098,9.332150613,-210.0937979
