Frequency [Hz],TVR [dB],G [S],B [S]
52800,134.4722521,0.000435077,0.001523516
52900,134.4252922,0.000428761,0.001523606
53000,134.309935,0.000420386,0.001523312
53100,134.1943338,0.000413274,0.001531439
53200,134.0754576,0.000408617,0.00154634
53300,134.0754576,0.000406857,0.001552981
53400,134.0754576,0.000406287,0.001564653
53500,134.0754576,0.000406287,0.001576137
53600,134.0754576,0.000406283,0.001584053
53700,134.0754151,0.000406219,0.001584016
53800,133.957003,0.000403849,0.001576965
53900,133.957003,0.000401549,0.001572729
54000,133.9510233,0.000400994,0.001574435
54100,133.8385483,0.000398616,0.001584817
54200,133.8385483,0.000395636,0.001597528
54300,133.8385483,0.000394499,0.00160868
54400,133.7336642,0.00039177,0.001617756
54500,133.6076451,0.000386811,0.001634385
54600,133.601639,0.000384219,0.001642651
54700,133.601639,0.000379753,0.001646261
54800,133.601639,0.000378342,0.001648571
54900,133.601639,0.000379238,0.001652473
55000,133.601639,0.000384532,0.001657501
55100,133.6065568,0.000386118,0.001659564
55200,133.7498046,0.000391939,0.001667554
55300,133.8593458,0.000396491,0.001673015
55400,133.947557,0.000398842,0.001679396
55500,133.8424097,0.00039622,0.001678342
55600,133.7077686,0.000388396,0.001671891
55700,133.5658349,0.000381147,0.001670824
55800,133.4388097,0.000377085,0.001670509
55900,133.3647297,0.000373436,0.001676198
56000,133.246275,0.000370994,0.001681932
56100,133.2481583,0.000371955,0.001682191
56200,133.3647297,0.000373192,0.001681173
56300,133.3647297,0.000375003,0.00167889
56400,133.3647297,0.000374837,0.001678799
56500,133.3647297,0.00037416,0.001680526
56600,133.2918349,0.000371607,0.001682237
56700,133.2067578,0.00036758,0.001686706
56800,133.0698362,0.000361735,0.001690164
56900,133.0093657,0.000359835,0.001691966
57000,133.0093657,0.000356913,0.001699884
57100,132.890911,0.000355703,0.001706549
57200,132.890911,0.000355707,0.001714929
57300,132.890911,0.000354001,0.001716591
57400,132.890911,0.000353987,0.001719879
57500,132.890911,0.000352193,0.001724962
57600,132.8271293,0.000350518,0.001726522
57700,132.6905418,0.000347432,0.001734971
57800,132.6044478,0.00034282,0.001741448
57900,132.4978238,0.000336223,0.001745079
58000,132.3989587,0.000333453,0.001749658
58100,132.300976,0.000327143,0.001755022
58200,132.2580731,0.000323979,0.001761248
58300,132.1913092,0.000322946,0.001767353
58400,132.1801831,0.000322332,0.001773423
58500,132.1801831,0.000322493,0.00177747
58600,132.1801831,0.00032358,0.001782141
58700,132.1801831,0.000323545,0.00178563
58800,132.1801831,0.000323662,0.001787962
58900,132.1801831,0.000324305,0.001796652
59000,132.1801831,0.000323563,0.001804008
59100,132.1801831,0.00032336,0.001807762
59200,132.0718655,0.000320977,0.001812134
59300,132.0617284,0.000319494,0.001818917
59400,132.0617284,0.000319511,0.001822706
59500,132.0617284,0.00031951,0.001827015
59600,132.0617284,0.000319484,0.001834865
59700,132.0617284,0.000320826,0.001842167
59800,132.1022527,0.000321171,0.001847533
59900,132.1801831,0.000322266,0.001849871
60000,132.1801831,0.000323167,0.001856862
60100,132.1801831,0.000323516,0.001862022
60200,132.1801831,0.000323572,0.001863184
60300,132.1801831,0.000322195,0.001869611
60400,132.0617284,0.000319216,0.001877403
60500,132.0617284,0.00031784,0.001881738
60600,132.0190796,0.000316161,0.001887703
60700,131.9412643,0.000315559,0.001896164
60800,131.864085,0.00031392,0.001904215
60900,131.8248191,0.000312076,0.001906392
61000,131.7213072,0.000308209,0.001911098
61100,131.6662192,0.000304696,0.001915955
61200,131.5879097,0.000302268,0.001924401
61300,131.5879097,0.000300572,0.001930832
61400,131.5388025,0.000298818,0.00194082
61500,131.4694551,0.000297653,0.001950759
61600,131.4694551,0.000297088,0.001954014
61700,131.4694551,0.000295928,0.001964005
61800,131.4092004,0.000295856,0.001970443
61900,131.3510004,0.000294762,0.001977442
62000,131.3510004,0.000294195,0.001980311
62100,131.3510004,0.00029223,0.001989215
62200,131.3055366,0.000288817,0.001997451
62300,131.2325458,0.000286025,0.00200987
62400,131.2325458,0.000287008,0.00201391
62500,131.2325458,0.000289402,0.002025403
62600,131.2793432,0.000290971,0.002034286
62700,131.3510004,0.00029134,0.002038069
62800,131.3510004,0.000291352,0.00204554
62900,131.3510004,0.00029134,0.002053018
63000,131.3084743,0.000291114,0.002063905
63100,131.3144901,0.000290476,0.002067477
63200,131.3510004,0.000291918,0.002078738
63300,131.372567,0.000294279,0.002088471
63400,131.4632023,0.000298438,0.002097861
63500,131.5265198,0.000300645,0.002106676
63600,131.5844735,0.000303201,0.002114674
63700,131.7063644,0.000304725,0.002122947
63800,131.7621067,0.000305376,0.002125584
63900,131.8237433,0.000307533,0.002134465
64000,131.8248191,0.000310541,0.002142072
64100,131.915842,0.000312918,0.002149565
64200,131.9275373,0.000313188,0.002153654
64300,131.8904253,0.000313576,0.002157821
64400,131.846173,0.000314475,0.002165194
64500,131.7974918,0.000313145,0.00217119
64600,131.7470929,0.000313281,0.002181943
64700,131.6976877,0.000311908,0.002192266
64800,131.6519875,0.000313231,0.002202261
64900,131.6127036,0.000313662,0.00220691
65000,131.5879097,0.000316036,0.002215429
